hazard_type,indicator_id,path,display_name,description_short
ChronicHeat,days_tas/above/50c,chronic_heat/osc/v2/days_tas_above_50c_MIROC6_{scenario}_{year},Days with average temperature above 50°C/MIROC6,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/50c,chronic_heat/osc/v2/days_tas_above_50c_NorESM2-MM_{scenario}_{year},Days with average temperature above 50°C/NorESM2-MM,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_ACCESS-CM2_{scenario}_{year},Days with average temperature above 55°C/ACCESS-CM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_CMCC-ESM2_{scenario}_{year},Days with average temperature above 55°C/CMCC-ESM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_CNRM-CM6-1_{scenario}_{year},Days with average temperature above 55°C/CNRM-CM6-1,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_MPI-ESM1-2-LR_{scenario}_{year},Days with average temperature above 55°C/MPI-ESM1-2-LR,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_MIROC6_{scenario}_{year},Days with average temperature above 55°C/MIROC6,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/55c,chronic_heat/osc/v2/days_tas_above_55c_NorESM2-MM_{scenario}_{year},Days with average temperature above 55°C/NorESM2-MM,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,mean_degree_days/above/index,chronic_heat/osc/v2/mean_degree_days_above_index_ACCESS-CM2_{scenario}_{year},Mean degree days above index value/ACCESS-CM2,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,weeks_water_temp_above,chronic_heat/nluu/v2/weeks_water_temp_above_GFDL_{scenario}_{year},Weeks with average water temperature above threshold in °C/GFDL,"Weeks per year for which the average water temperature is above a threshold specified in °C:

$$
I =  \frac{52}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{ref}} \nonumb"
ChronicHeat,weeks_water_temp_above,chronic_heat/nluu/v2/weeks_water_temp_above_HadGEM_{scenario}_{year},Weeks with average water temperature above threshold in °C/HadGEM,"Weeks per year for which the average water temperature is above a threshold specified in °C:

$$
I =  \frac{52}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{ref}} \nonumb"
ChronicHeat,weeks_water_temp_above,chronic_heat/nluu/v2/weeks_water_temp_above_IPSL_{scenario}_{year},Weeks with average water temperature above threshold in °C/IPSL,"Weeks per year for which the average water temperature is above a threshold specified in °C:

$$
I =  \frac{52}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{ref}} \nonumb"
ChronicHeat,weeks_water_temp_above,chronic_heat/nluu/v2/weeks_water_temp_above_MIROC_{scenario}_{year},Weeks with average water temperature above threshold in °C/MIROC,"Weeks per year for which the average water temperature is above a threshold specified in °C:

$$
I =  \frac{52}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{ref}} \nonumb"
ChronicHeat,weeks_water_temp_above,chronic_heat/nluu/v2/weeks_water_temp_above_NorESM_{scenario}_{year},Weeks with average water temperature above threshold in °C/NorESM,"Weeks per year for which the average water temperature is above a threshold specified in °C:

$$
I =  \frac{52}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{ref}} \nonumb"
